SAMPLE_ID,Inserto,Cu,Fe,Au,Co,S,Origen
STD HIGH 1,1,1.662,50.31,0.295,370,1.78,P2022-111 Análisis Estandares MSDv3.xlsx
STD HIGH 2,2,1.682,49.97,0.271,360,1.78,P2022-111 Análisis Estandares MSDv3.xlsx
STD HIGH 3,3,1.665,48.97,0.346,370,1.79,P2022-111 Análisis Estandares MSDv3.xlsx
STD HIGH 4,4,1.68,49.84,0.272,380,1.75,P2022-111 Análisis Estandares MSDv3.xlsx
STD HIGH 5,5,1.607,49.98,0.271,370,1.89,P2022-111 Análisis Estandares MSDv3.xlsx
STD HIGH 6,6,1.633,48.91,0.273,360,1.83,P2022-111 Análisis Estandares MSDv3.xlsx
STD HIGH 7,7,1.616,49.13,0.285,360,1.83,P2022-111 Análisis Estandares MSDv3.xlsx
STD HIGH 8,8,1.625,49.38,0.31,370,1.82,P2022-111 Análisis Estandares MSDv3.xlsx
STD HIGH 9,9,1.65,49.66,0.285,360,1.81,P2022-111 Análisis Estandares MSDv3.xlsx
STD HIGH 10,10,1.595,49.21,0.277,350,1.89,P2022-111 Análisis Estandares MSDv3.xlsx
STD HIGH 11,11,1.572,49.97,0.283,350,1.89,P2022-111 Análisis Estandares MSDv3.xlsx
STD HIGH 12,12,1.582,49.15,0.272,370,1.86,P2022-111 Análisis Estandares MSDv3.xlsx
STD HIGH 13,13,1.619,49.28,0.297,350,1.88,P2022-111 Análisis Estandares MSDv3.xlsx
STD HIGH 14,14,1.582,49.1,0.311,360,1.84,P2022-111 Análisis Estandares MSDv3.xlsx
STD HIGH 15,15,1.632,49.91,0.286,370,1.86,P2022-111 Análisis Estandares MSDv3.xlsx
MZ2352671,16,1.624,49.24,0.26,350,1.83,Insertos STD MSD.xlsx
MZ2352677,17,1.623,49.36,0.234,350,1.81,Insertos STD MSD.xlsx
MZ2352697,18,1.574,49.04,0.299,350,1.84,Insertos STD MSD.xlsx
MZ2352698,19,1.629,49.34,0.294,370,1.92,Insertos STD MSD.xlsx
MZ2352761,20,1.672,49.67,0.276,350,1.87,Insertos STD MSD.xlsx
MZ2352771,21,1.629,49.57,0.258,350,1.87,Insertos STD MSD.xlsx
MZ2352759,22,1.631,49.75,0.284,350,1.87,Insertos STD MSD.xlsx
MZ2352786,23,1.607,49.9,0.223,350,1.89,Insertos STD MSD.xlsx
MZ2352815,24,1.659,49.98,0.226,350,1.82,Insertos STD MSD.xlsx
MZ2352837,25,1.639,49.87,0.241,350,1.88,Insertos STD MSD.xlsx
AB2352857,26,1.583,49.82,0.274,350,1.9,Insertos STD MSD.xlsx
AB2352875,27,1.675,49.47,0.271,360,1.91,Insertos STD MSD.xlsx
AB2352900,28,1.677,49.6,0.271,350,1.88,Insertos STD MSD.xlsx
AB2352921,29,1.621,49.07,0.293,360,1.9,Insertos STD MSD.xlsx
AB2352960,30,1.681,49.74,0.297,370,1.78,Insertos STD MSD.xlsx
