SAMPLE_ID,Inserto,Cu,Fe,Au,Co,S,Origen
STD MEDIUM 1,1,0.451,30.77,0.094,190,1.53,P2022-111 Análisis Estandares MSDv3.xlsx
STD MEDIUM 2,2,0.466,31.66,0.102,190,1.5,P2022-111 Análisis Estandares MSDv3.xlsx
STD MEDIUM 3,3,0.452,30.94,0.08,200,1.53,P2022-111 Análisis Estandares MSDv3.xlsx
STD MEDIUM 4,4,0.461,31.12,0.093,200,1.52,P2022-111 Análisis Estandares MSDv3.xlsx
STD MEDIUM 5,5,0.457,31.57,0.101,190,1.5,P2022-111 Análisis Estandares MSDv3.xlsx
STD MEDIUM 6,6,0.463,31.18,0.095,200,1.53,P2022-111 Análisis Estandares MSDv3.xlsx
STD MEDIUM 7,7,0.466,30.34,0.112,200,1.52,P2022-111 Análisis Estandares MSDv3.xlsx
STD MEDIUM 8,8,0.452,32.02,0.12,200,1.52,P2022-111 Análisis Estandares MSDv3.xlsx
STD MEDIUM 9,9,0.461,30.94,0.075,200,1.52,P2022-111 Análisis Estandares MSDv3.xlsx
STD MEDIUM 10,10,0.458,31.63,0.079,190,1.52,P2022-111 Análisis Estandares MSDv3.xlsx
STD MEDIUM 11,11,0.457,31.54,0.072,200,1.53,P2022-111 Análisis Estandares MSDv3.xlsx
STD MEDIUM 12,12,0.452,30.53,0.124,200,1.53,P2022-111 Análisis Estandares MSDv3.xlsx
STD MEDIUM 13,13,0.461,31.39,0.076,200,1.49,P2022-111 Análisis Estandares MSDv3.xlsx
STD MEDIUM 14,14,0.454,31.89,0.086,190,1.5,P2022-111 Análisis Estandares MSDv3.xlsx
STD MEDIUM 15,15,0.46,31.47,0.072,200,1.48,P2022-111 Análisis Estandares MSDv3.xlsx
MZ2352671,16,0.461,31.28,0.095,190,1.5,Insertos STD MSD.xlsx
MZ2352677,17,0.464,31.08,0.082,190,1.51,Insertos STD MSD.xlsx
MZ2352697,18,0.452,30.63,0.076,200,1.53,Insertos STD MSD.xlsx
MZ2352698,19,0.464,31.49,0.124,200,1.63,Insertos STD MSD.xlsx
MZ2352761,20,0.466,31.57,0.104,190,1.53,Insertos STD MSD.xlsx
MZ2352771,21,0.454,31.38,0.106,190,1.53,Insertos STD MSD.xlsx
MZ2352759,22,0.464,31.6,0.086,190,1.53,Insertos STD MSD.xlsx
MZ2352786,23,0.464,31.95,0.123,190,1.6,Insertos STD MSD.xlsx
MZ2352815,24,0.464,31.75,0.119,200,1.54,Insertos STD MSD.xlsx
MZ2352837,25,0.466,31.32,0.076,190,1.52,Insertos STD MSD.xlsx
AB2352857,26,0.461,32,0.091,200,1.64,Insertos STD MSD.xlsx
AB2352875,27,0.465,31.69,0.09,200,1.56,Insertos STD MSD.xlsx
AB2352900,28,0.462,31.14,0.093,190,1.5,Insertos STD MSD.xlsx
AB2352921,29,0.463,31.85,0.091,200,1.61,Insertos STD MSD.xlsx
AB2352960,30,0.463,31.86,0.085,200,1.49,Insertos STD MSD.xlsx
