SAMPLE_ID,Inserto,Cu original,Cu duplicado
AAA-1001,1,1.24,1.17
AAA-1002,2,1.44,1.42
AAA-1003,3,1.6,1.6
AAA-1004,4,0.44,0.46
AAA-1005,5,1.72,1.71
AAA-1006,6,0.899,0.899
AAA-1007,7,1.86,1.87
AAA-1008,8,0.51,0.51
AAA-1009,9,0.477,0.476
AAA-1010,10,0.904,0.914
AAA-1011,11,0.69,0.69
AAA-1012,12,0.643,0.66
AAA-1013,13,0.382,0.383
AAA-1014,14,0.312,0.31
AAA-1015,15,0.409,0.401
AAA-1016,16,0.15,0.16
AAA-1017,17,1.12,1.11
AAA-1018,18,1.35,1.34
AAA-1019,19,0.15,0.16
AAA-1020,20,1.71,1.71
AAA-1021,21,1.179,1.163
AAA-1022,22,0.472,0.381
AAA-1023,23,0.214,0.227
AAA-1024,24,0.129,0.13
AAA-1025,25,0.488,0.482
AAA-1026,26,0.677,0.677
AAA-1027,27,1.78,1.74
AAA-1028,28,0.749,0.762
AAA-1029,29,0.567,0.594
AAA-1030,30,0.172,0.348
AAA-1031,31,0.236,0.242
AAA-1032,32,0.27,0.27
AAA-1033,33,2.18,2.15
AAA-1034,34,0.977,1
AAA-1035,35,0.24,0.23
AAA-1036,36,1.72,1.72
AAA-1037,37,1.76,1.73
AAA-1038,38,1.26,1.27
AAA-1039,39,0.78,0.79
AAA-1040,40,0.57,0.57
AAA-1041,41,2.02,2
AAA-1042,42,0.52,0.52
AAA-1043,43,1.19,1.18
AAA-1044,44,2.23,2.21
AAA-1045,45,1.677,1.722
AAA-1046,46,2.809,2.691
AAA-1047,47,0.87,0.87
AAA-1048,48,0.82,0.82
AAA-1049,49,2.21,2.12
AAA-1050,50,1.27,1.26
AAA-1051,51,0.629,0.657
AAA-1052,52,0.454,0.441
AAA-1053,53,0.631,0.653
AAA-1054,54,0.593,0.603
AAA-1055,55,0.442,0.442
AAA-1056,56,0.47,0.48
AAA-1057,57,0.687,0.691
AAA-1058,58,5.385,5.428
AAA-1059,59,1.155,1.031
AAA-1060,60,0.952,0.945
AAA-1061,61,0.79,0.78
AAA-1062,62,0.4,0.4
AAA-1063,63,0.32,0.3
AAA-1064,64,0.5,0.49
AAA-1065,65,1.09,1.13
AAA-1066,66,1.66,1.69
AAA-1067,67,0.84,0.85
AAA-1068,68,2.97,3.05
AAA-1069,69,0.43,0.45
AAA-1070,70,0.255,0.256
AAA-1071,71,0.27,0.25
AAA-1072,72,1.12,1.09
AAA-1073,73,2.29,2.27
AAA-1074,74,1.88,1.87
AAA-1075,75,2.19,2.22
AAA-1076,76,1.36,1.35
AAA-1077,77,1.2,1.19
AAA-1078,78,1.03,1
AAA-1079,79,2.37,2.78
AAA-1080,80,0.98,1.15
AAA-1081,81,0.2,0.22
AAA-1082,82,0.7,0.7
AAA-1083,83,1.91,1.89
AAA-1084,84,1.04,1.03
AAA-1085,85,1.48,1.49
AAA-1086,86,0.45,0.46
AAA-1087,87,0.92,0.93
AAA-1088,88,0.89,0.87
AAA-1089,89,1.11,1.13
AAA-1090,90,0.47,0.46
AAA-1091,91,0.96,0.97
AAA-1092,92,1.06,1.07
AAA-1093,93,1.94,1.96
AAA-1094,94,0.99,1
AAA-1095,95,0.9,0.95
AAA-1096,96,1.22,0.89
AAA-1097,97,0.21,0.21
AAA-1098,98,1.13,1.06
AAA-1099,99,0.27,0.27
AAA-1100,100,0.41,0.38
AAA-1101,101,0.3,0.31
AAA-1102,102,0.43,0.44
AAA-1103,103,0.87,0.87
AAA-1104,104,2.77,2.76
AAA-1105,105,1.81,1.79
AAA-1106,106,2.11,2.03
AAA-1107,107,2.54,2.5
AAA-1108,108,1.02,1.874
AAA-1109,109,0.649,0.601
AAA-1110,110,0.51,0.476
AAA-1111,111,0.596,0.557
AAA-1112,112,0.373,0.378
AAA-1113,113,0.346,0.334
AAA-1114,114,0.568,0.531
AAA-1115,115,0.283,0.281
AAA-1116,116,0.546,0.739
AAA-1117,117,0.537,0.526
AAA-1118,118,0.224,0.239
AAA-1119,119,0.355,0.341
AAA-1120,120,0.742,0.742
AAA-1121,121,0.239,0.237
AAA-1122,122,0.604,0.574
AAA-1123,123,0.707,0.691
AAA-1124,124,0.999,0.964
AAA-1125,125,0.734,0.73
AAA-1126,126,0.743,0.718
AAA-1127,127,0.416,0.418
